ToxPi Score,FIPS,Name,Source,Economic & Productivity Losses!1!0x88cceeff,Transition Risks!1!0x44aa99ff
0.487259541847366,26163531100,26163531100,"+42.3748819,-083.1152689",0.171240395170143,0.80327868852459
0.555944647388026,26163531200,26163531200,"+42.3788297,-083.1020097",0.344676180021954,0.767213114754098
0.47902683054111,26163531300,26163531300,"+42.3833022,-083.1097921",0.154774972557629,0.80327868852459
0.488357236688201,26163531400,26163531400,"+42.3803842,-083.1189728",0.173435784851811,0.80327868852459
0.640936819564161,26163531500,26163531500,"+42.3870970,-083.1235622",0.478594950603732,0.80327868852459
0.507018048982383,26163531600,26163531600,"+42.3941530,-083.1282997",0.210757409440176,0.80327868852459
0.511993665760918,26163531700,26163531700,"+42.3980117,-083.1171527",0.237102085620198,0.786885245901639
0.549279300354502,26163531800,26163531800,"+42.3903871,-083.1146956",0.295279912184413,0.80327868852459
0.479048424537979,26163531900,26163531900,"+42.3902385,-083.1062989",0.164654226125137,0.79344262295082
0.440195425671663,26163532200,26163532200,"+42.3884007,-083.0939521",0.139407244785949,0.740983606557377
0.310464090982707,26163532300,26163532300,"+42.3840376,-083.0891148",0.0373216245883644,0.583606557377049
0.368093070126505,26163532400,26163532400,"+42.3784502,-083.0840723",0.15257958287596,0.583606557377049
0.413098558600709,26163532600,26163532600,"+42.3689514,-083.0885598",0.242590559824369,0.583606557377049
0.323087581652301,26163532700,26163532700,"+42.3752477,-083.0927712",0.0625686059275521,0.583606557377049
0.467623400694607,26163533000,26163533000,"+42.3655279,-083.0976664",0.187705817782656,0.747540983606557
0.480182109373594,26163533100,26163533100,"+42.3718956,-083.1019312",0.183315038419319,0.777049180327869
0.483417609904447,26163533200,26163533200,"+42.3687113,-083.1111289",0.163556531284303,0.80327868852459
0.498792535675082,26163533300,26163533300,"+42.3621943,-083.1067231",0.197585071350165,0.8
0.625569091792482,26163533400,26163533400,"+42.3633711,-083.1191094",0.447859495060373,0.80327868852459
0.434570189487323,26163533500,26163533500,"+42.3624806,-083.1312395",0.0658616904500549,0.80327868852459
0.552023537456587,26163533600,26163533600,"+42.3563635,-083.1217128",0.300768386388584,0.80327868852459
0.460914865667345,26163533700,26163533700,"+42.3569040,-083.1335477",0.118551042810099,0.80327868852459
0.545919634341653,26163533900,26163533900,"+42.3685171,-083.0774349",0.508232711306257,0.583606557377049
0.559707401342427,26163534100,26163534100,"+42.3750600,-083.1423228",0.316136114160263,0.80327868852459
0.695272714185457,26163534200,26163534200,"+42.3798594,-083.1559200",0.587266739846323,0.80327868852459
0.451584459520253,26163534300,26163534300,"+42.3749313,-083.1627851",0.0998902305159166,0.80327868852459
